direction,seed,split_seed,shot_k,alpha,distance,file_acc,macro_f1
rx1_to_rx2,2,2,20,0.75,cosine,0.2916666666666667,0.17638888888888885
rx1_to_rx2,2,2,20,1.0,cosine,0.20833333333333334,0.12996031746031744
rx2_to_rx1,0,0,1,0.0,cosine,0.25,0.17361111111111108
rx2_to_rx1,0,0,1,0.25,cosine,0.3333333333333333,0.2916666666666667
rx2_to_rx1,0,0,1,0.5,cosine,0.4166666666666667,0.3638888888888889
rx2_to_rx1,0,0,1,0.75,cosine,0.2916666666666667,0.2202380952380952
rx2_to_rx1,0,0,1,1.0,cosine,0.125,0.10416666666666667
rx2_to_rx1,0,0,3,0.0,cosine,0.4583333333333333,0.375
rx2_to_rx1,0,0,3,0.25,cosine,0.375,0.2986111111111111
rx2_to_rx1,0,0,3,0.5,cosine,0.2916666666666667,0.20833333333333334
rx2_to_rx1,0,0,3,0.75,cosine,0.25,0.19027777777777777
rx2_to_rx1,0,0,3,1.0,cosine,0.125,0.10416666666666667
rx2_to_rx1,0,0,5,0.0,cosine,0.5,0.4305555555555555
rx2_to_rx1,0,0,5,0.25,cosine,0.4166666666666667,0.3541666666666667
rx2_to_rx1,0,0,5,0.5,cosine,0.3333333333333333,0.28472222222222215
rx2_to_rx1,0,0,5,0.75,cosine,0.16666666666666666,0.13194444444444445
rx2_to_rx1,0,0,5,1.0,cosine,0.125,0.10416666666666667
rx2_to_rx1,0,0,10,0.0,cosine,0.5416666666666666,0.4888888888888889
rx2_to_rx1,0,0,10,0.25,cosine,0.4583333333333333,0.40277777777777773
rx2_to_rx1,0,0,10,0.5,cosine,0.375,0.3333333333333333
rx2_to_rx1,0,0,10,0.75,cosine,0.16666666666666666,0.13888888888888887
rx2_to_rx1,0,0,10,1.0,cosine,0.125,0.10416666666666667
rx2_to_rx1,0,0,20,0.0,cosine,0.625,0.5833333333333333
rx2_to_rx1,0,0,20,0.25,cosine,0.5,0.4236111111111111
rx2_to_rx1,0,0,20,0.5,cosine,0.2916666666666667,0.2222222222222222
rx2_to_rx1,0,0,20,0.75,cosine,0.16666666666666666,0.13888888888888887
rx2_to_rx1,0,0,20,1.0,cosine,0.125,0.10416666666666667
rx2_to_rx1,0,1,1,0.0,cosine,0.25,0.19246031746031744
rx2_to_rx1,0,1,1,0.25,cosine,0.2916666666666667,0.21875
rx2_to_rx1,0,1,1,0.5,cosine,0.2916666666666667,0.1994047619047619
rx2_to_rx1,0,1,1,0.75,cosine,0.20833333333333334,0.19444444444444442
rx2_to_rx1,0,1,1,1.0,cosine,0.125,0.10416666666666667
rx2_to_rx1,0,1,3,0.0,cosine,0.4166666666666667,0.3638888888888889
rx2_to_rx1,0,1,3,0.25,cosine,0.4583333333333333,0.37777777777777777
rx2_to_rx1,0,1,3,0.5,cosine,0.4583333333333333,0.35694444444444445
rx2_to_rx1,0,1,3,0.75,cosine,0.20833333333333334,0.18055555555555555
rx2_to_rx1,0,1,3,1.0,cosine,0.125,0.10416666666666667
rx2_to_rx1,0,1,5,0.0,cosine,0.5416666666666666,0.47222222222222215
rx2_to_rx1,0,1,5,0.25,cosine,0.5833333333333334,0.5069444444444444
rx2_to_rx1,0,1,5,0.5,cosine,0.4166666666666667,0.34027777777777773
rx2_to_rx1,0,1,5,0.75,cosine,0.16666666666666666,0.13888888888888887
rx2_to_rx1,0,1,5,1.0,cosine,0.125,0.10416666666666667
rx2_to_rx1,0,1,10,0.0,cosine,0.625,0.5583333333333333
rx2_to_rx1,0,1,10,0.25,cosine,0.7083333333333334,0.625
rx2_to_rx1,0,1,10,0.5,cosine,0.4166666666666667,0.375
rx2_to_rx1,0,1,10,0.75,cosine,0.16666666666666666,0.13888888888888887
rx2_to_rx1,0,1,10,1.0,cosine,0.125,0.10416666666666667
rx2_to_rx1,0,1,20,0.0,cosine,0.6666666666666666,0.5972222222222222
rx2_to_rx1,0,1,20,0.25,cosine,0.5833333333333334,0.5416666666666666
rx2_to_rx1,0,1,20,0.5,cosine,0.4166666666666667,0.3680555555555555
rx2_to_rx1,0,1,20,0.75,cosine,0.16666666666666666,0.13888888888888887
rx2_to_rx1,0,1,20,1.0,cosine,0.125,0.10416666666666667
rx2_to_rx1,0,2,1,0.0,cosine,0.16666666666666666,0.14583333333333334
rx2_to_rx1,0,2,1,0.25,cosine,0.25,0.2111111111111111
rx2_to_rx1,0,2,1,0.5,cosine,0.375,0.3013888888888889
rx2_to_rx1,0,2,1,0.75,cosine,0.3333333333333333,0.25
rx2_to_rx1,0,2,1,1.0,cosine,0.16666666666666666,0.13194444444444445
rx2_to_rx1,0,2,3,0.0,cosine,0.3333333333333333,0.2638888888888889
rx2_to_rx1,0,2,3,0.25,cosine,0.3333333333333333,0.2916666666666667
rx2_to_rx1,0,2,3,0.5,cosine,0.375,0.3333333333333333
rx2_to_rx1,0,2,3,0.75,cosine,0.2916666666666667,0.25
rx2_to_rx1,0,2,3,1.0,cosine,0.16666666666666666,0.13194444444444445
rx2_to_rx1,0,2,5,0.0,cosine,0.5,0.4166666666666667
rx2_to_rx1,0,2,5,0.25,cosine,0.5416666666666666,0.4472222222222222
rx2_to_rx1,0,2,5,0.5,cosine,0.4166666666666667,0.375
rx2_to_rx1,0,2,5,0.75,cosine,0.2916666666666667,0.23611111111111108
rx2_to_rx1,0,2,5,1.0,cosine,0.16666666666666666,0.13194444444444445
rx2_to_rx1,0,2,10,0.0,cosine,0.6666666666666666,0.6041666666666666
rx2_to_rx1,0,2,10,0.25,cosine,0.5,0.43749999999999994
rx2_to_rx1,0,2,10,0.5,cosine,0.4583333333333333,0.38888888888888884
rx2_to_rx1,0,2,10,0.75,cosine,0.25,0.20833333333333334
rx2_to_rx1,0,2,10,1.0,cosine,0.16666666666666666,0.13194444444444445
rx2_to_rx1,0,2,20,0.0,cosine,0.625,0.548611111111111
rx2_to_rx1,0,2,20,0.25,cosine,0.625,0.5722222222222222
rx2_to_rx1,0,2,20,0.5,cosine,0.4166666666666667,0.3638888888888889
rx2_to_rx1,0,2,20,0.75,cosine,0.2916666666666667,0.2341269841269841
rx2_to_rx1,0,2,20,1.0,cosine,0.16666666666666666,0.13194444444444445
rx2_to_rx1,1,0,1,0.0,cosine,0.4166666666666667,0.3055555555555555
