receiver,model,seed,condition,accuracy,macro_f1,n_eval
b210_2,C'-OOB,3,clean,0.8265,0.811455092722189,2000
b210_2,C'-OOB,3,scale_0.5,0.1,0.01833180568277575,2000
b210_2,C'-OOB,3,scale_0.70710678,0.173,0.09543173328663365,2000
b210_2,C'-OOB,3,scale_1.41421356,0.2505,0.1795950730520323,2000
b210_2,C'-OOB,3,scale_2.0,0.126,0.05878613256507507,2000
b210_2,C'-OOB,3,shuffle,0.0905,0.10455418887401642,2000
b210_2,C'-OOB,3,neutral,0.2925,0.21783704618699576,2000
b210_2,C'-OOB,3,left_scale_0.5,0.1,0.01828153564891096,2000
b210_2,C'-OOB,3,right_scale_0.5,0.828,0.8133344589175033,2000
b210_2,C'-OOB,4,clean,0.908,0.9028336405928347,2000
b210_2,C'-OOB,4,scale_0.5,0.1305,0.0678670463626359,2000
b210_2,C'-OOB,4,scale_0.70710678,0.2975,0.209014840827284,2000
b210_2,C'-OOB,4,scale_1.41421356,0.296,0.1990177937725393,2000
b210_2,C'-OOB,4,scale_2.0,0.2275,0.1371539462366241,2000
b210_2,C'-OOB,4,shuffle,0.1045,0.10961989214083727,2000
b210_2,C'-OOB,4,neutral,0.2135,0.1444781139640519,2000
b210_2,C'-OOB,4,left_scale_0.5,0.1315,0.06894753942521224,2000
b210_2,C'-OOB,4,right_scale_0.5,0.9055,0.9003873386149024,2000
b210_2,C'-TrueIB,0,clean,0.8275,0.8154803150536815,2000
b210_2,C'-TrueIB,1,clean,0.2585,0.24047690946273964,2000
b210_2,C'-TrueIB,2,clean,0.7885,0.7691782559352737,2000
b210_2,C'-TrueIB,3,clean,0.76,0.7337603662002901,2000
b210_2,C'-TrueIB,4,clean,0.3085,0.23615289883506127,2000
n210_2,Shen-CIS,0,clean,1.0,0.9999999999749999,2000
n210_2,Shen-CIS,1,clean,1.0,0.9999999999749999,2000
n210_2,Shen-CIS,2,clean,0.9995,0.9994999968499929,2000
n210_2,Shen-CIS,3,clean,1.0,0.9999999999749999,2000
n210_2,Shen-CIS,4,clean,1.0,0.9999999999749999,2000
n210_2,Shen-RA,0,clean,1.0,0.9999999999749999,2000
n210_2,Shen-RA,1,clean,1.0,0.9999999999749999,2000
n210_2,Shen-RA,2,clean,0.9995,0.9994999968499929,2000
n210_2,Shen-RA,3,clean,1.0,0.9999999999749999,2000
n210_2,Shen-RA,4,clean,1.0,0.9999999999749999,2000
n210_2,B1-OOB,0,clean,0.3795,0.2917104716826823,2000
n210_2,B1-OOB,0,scale_0.5,0.1005,0.019188461157175915,2000
n210_2,B1-OOB,0,scale_0.70710678,0.1005,0.019188461157175915,2000
n210_2,B1-OOB,0,scale_1.41421356,0.1995,0.06656259565294949,2000
n210_2,B1-OOB,0,scale_2.0,0.1045,0.025590621503704048,2000
n210_2,B1-OOB,0,shuffle,0.1215,0.1208655852669818,2000
n210_2,B1-OOB,0,neutral,0.194,0.09455209386699752,2000
n210_2,B1-OOB,0,left_scale_0.5,0.1005,0.019188461157175915,2000
n210_2,B1-OOB,0,right_scale_0.5,0.2775,0.155625613199712,2000
n210_2,B1-OOB,1,clean,0.5895,0.5539059098092809,2000
n210_2,B1-OOB,1,scale_0.5,0.1005,0.019185111278400082,2000
n210_2,B1-OOB,1,scale_0.70710678,0.1005,0.026976847317766072,2000
n210_2,B1-OOB,1,scale_1.41421356,0.1715,0.06546705011846829,2000
n210_2,B1-OOB,1,scale_2.0,0.1925,0.0723329500785457,2000
n210_2,B1-OOB,1,shuffle,0.0785,0.07179381513876085,2000
n210_2,B1-OOB,1,neutral,0.0775,0.039380662950813536,2000
n210_2,B1-OOB,1,left_scale_0.5,0.1005,0.019185111278400082,2000
n210_2,B1-OOB,1,right_scale_0.5,0.5205,0.4488428447399385,2000
n210_2,B1-OOB,2,clean,0.7545,0.7153473196726996,2000
n210_2,B1-OOB,2,scale_0.5,0.1,0.018190086402827696,2000
n210_2,B1-OOB,2,scale_0.70710678,0.1005,0.019188461157175915,2000
n210_2,B1-OOB,2,scale_1.41421356,0.143,0.053781031697850666,2000
n210_2,B1-OOB,2,scale_2.0,0.125,0.04309431786945968,2000
n210_2,B1-OOB,2,shuffle,0.13,0.12981042994508932,2000
n210_2,B1-OOB,2,neutral,0.1525,0.09119940327281907,2000
n210_2,B1-OOB,2,left_scale_0.5,0.1005,0.019193387022896326,2000
